Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter	AUC - nonpromoter active	AUC - nonpromoter inactive	AUC - random
0	train	1.39, 1.39, 1.39, 1.38	0.00, 0.00, 0.00, 1.00	1.00, 1.00, 1.00, 0.00	0.50, 0.50, 0.50, 0.50	0.46, 0.48, 0.55, 0.46	0.53, 0.52, 0.53, 0.52	0.59, 0.57, 0.57, 0.58
0	valid	1.39, 1.39, 1.39, 1.38	0.00, 0.00, 0.00, 1.00	1.00, 1.00, 1.00, 0.00	0.50, 0.50, 0.50, 0.50	0.47, 0.48, 0.55, 0.44	0.53, 0.51, 0.52, 0.52	0.60, 0.56, 0.57, 0.58
1	train	1.11, 1.48, 1.47, 1.46	1.00, 0.00, 0.01, 0.00	0.01, 1.00, 1.00, 1.00	0.63, 0.59, 0.63, 0.66	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
1	valid	1.22, 1.40, 1.39, 1.39	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.72, 0.69, 0.73, 0.74	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
2	train	1.10, 1.47, 1.47, 1.40	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.76, 0.69, 0.69, 0.90	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
2	valid	1.11, 1.47, 1.45, 1.40	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.78, 0.69, 0.76, 0.90	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
3	train	1.11, 1.46, 1.45, 1.39	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.79, 0.72, 0.76, 0.90	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
3	valid	1.09, 1.48, 1.50, 1.39	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.71, 0.68, 0.52, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
4	train	1.09, 1.46, 1.47, 1.39	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.81, 0.75, 0.75, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
4	valid	1.17, 1.41, 1.40, 1.39	1.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00	0.78, 0.74, 0.79, 0.82	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50
5	train	1.09, 1.47, 1.46, 1.22	0.99, 0.00, 0.00, 0.51	0.19, 1.00, 1.00, 0.99	0.82, 0.75, 0.78, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.75, 0.75, 0.75, 0.75
5	valid	1.13, 1.46, 1.43, 1.04	1.00, 0.00, 0.00, 1.00	0.33, 1.00, 1.00, 0.99	0.79, 0.71, 0.79, 0.88	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
6	train	1.09, 1.47, 1.46, 1.05	0.99, 0.00, 0.00, 0.99	0.35, 1.00, 1.00, 0.99	0.83, 0.75, 0.80, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
6	valid	1.15, 1.42, 1.41, 1.04	1.00, 0.00, 0.00, 1.00	0.33, 1.00, 1.00, 0.99	0.80, 0.75, 0.80, 0.85	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
7	train	1.10, 1.44, 1.44, 1.05	1.00, 0.00, 0.00, 0.99	0.34, 1.00, 1.00, 0.99	0.85, 0.80, 0.83, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
7	valid	1.12, 1.43, 1.42, 1.04	1.00, 0.00, 0.00, 1.00	0.32, 1.00, 1.00, 1.00	0.84, 0.79, 0.83, 0.90	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
8	train	1.09, 1.44, 1.44, 1.04	1.00, 0.00, 0.00, 1.00	0.34, 1.00, 1.00, 1.00	0.87, 0.82, 0.85, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
8	valid	1.11, 1.44, 1.42, 1.04	1.00, 0.00, 0.00, 1.00	0.32, 1.00, 1.00, 1.00	0.86, 0.81, 0.85, 0.92	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	1.00, 1.00, 1.00, 1.00
9	train	1.10, 1.47, 1.31, 1.04	0.93, 0.00, 0.34, 1.00	0.53, 1.00, 0.91, 1.00	0.88, 0.83, 0.86, 0.94	0.50, 0.50, 0.50, 0.50	0.65, 0.58, 0.65, 0.70	1.00, 1.00, 1.00, 1.00
9	valid	1.16, 1.45, 1.19, 1.04	0.80, 0.00, 0.69, 1.00	0.69, 1.00, 0.83, 0.97	0.84, 0.81, 0.83, 0.89	0.50, 0.50, 0.50, 0.50	0.78, 0.75, 0.80, 0.88	1.00, 1.00, 1.00, 1.00
10	train	1.11, 1.48, 1.18, 1.04	0.87, 0.00, 0.70, 1.00	0.70, 1.00, 0.84, 1.00	0.89, 0.84, 0.88, 0.95	0.50, 0.50, 0.50, 0.50	0.81, 0.74, 0.82, 0.89	1.00, 1.00, 1.00, 1.00
10	valid	1.14, 1.52, 1.14, 1.04	0.74, 0.00, 0.83, 1.00	0.81, 1.00, 0.74, 0.97	0.87, 0.81, 0.86, 0.94	0.50, 0.50, 0.50, 0.50	0.83, 0.77, 0.84, 0.94	1.00, 1.00, 1.00, 1.00
11	train	1.11, 1.47, 1.17, 1.04	0.87, 0.00, 0.73, 1.00	0.70, 1.00, 0.85, 1.00	0.89, 0.85, 0.88, 0.95	0.50, 0.50, 0.50, 0.50	0.83, 0.77, 0.83, 0.90	1.00, 1.00, 1.00, 1.00
11	valid	1.11, 1.46, 1.20, 1.04	0.87, 0.00, 0.69, 1.00	0.67, 1.00, 0.84, 1.00	0.89, 0.86, 0.87, 0.95	0.50, 0.50, 0.50, 0.50	0.82, 0.78, 0.83, 0.90	1.00, 1.00, 1.00, 1.00
12	train	1.11, 1.46, 1.17, 1.04	0.88, 0.00, 0.74, 1.00	0.69, 1.00, 0.86, 1.00	0.91, 0.87, 0.89, 0.96	0.50, 0.50, 0.50, 0.50	0.84, 0.80, 0.85, 0.91	1.00, 1.00, 1.00, 1.00
12	valid	1.12, 1.45, 1.20, 1.05	0.87, 0.00, 0.69, 1.00	0.66, 1.00, 0.85, 1.00	0.89, 0.86, 0.87, 0.94	0.50, 0.50, 0.50, 0.50	0.81, 0.77, 0.82, 0.88	1.00, 1.00, 1.00, 1.00
13	train	1.11, 1.46, 1.16, 1.04	0.87, 0.00, 0.76, 1.00	0.70, 1.00, 0.86, 1.00	0.91, 0.88, 0.90, 0.96	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.85, 0.91	1.00, 1.00, 1.00, 1.00
13	valid	1.11, 1.44, 1.24, 1.04	0.90, 0.00, 0.58, 1.00	0.59, 1.00, 0.90, 0.99	0.90, 0.87, 0.87, 0.96	0.50, 0.50, 0.50, 0.50	0.80, 0.78, 0.81, 0.86	1.00, 1.00, 1.00, 1.00
14	train	1.11, 1.45, 1.16, 1.04	0.88, 0.00, 0.77, 1.00	0.69, 1.00, 0.87, 1.00	0.91, 0.88, 0.90, 0.96	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.86, 0.92	1.00, 1.00, 1.00, 1.00
14	valid	1.16, 1.45, 1.14, 1.04	0.78, 0.00, 0.82, 1.00	0.74, 1.00, 0.80, 0.98	0.87, 0.84, 0.87, 0.90	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.85, 0.92	1.00, 1.00, 1.00, 1.00
15	train	1.10, 1.45, 1.16, 1.04	0.88, 0.00, 0.77, 1.00	0.70, 1.00, 0.87, 1.00	0.92, 0.89, 0.90, 0.96	0.50, 0.50, 0.50, 0.50	0.86, 0.82, 0.86, 0.92	1.00, 1.00, 1.00, 1.00
15	valid	1.12, 1.46, 1.15, 1.07	0.81, 0.00, 0.81, 0.97	0.72, 1.00, 0.80, 1.00	0.91, 0.88, 0.88, 0.96	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.86, 0.94	1.00, 1.00, 1.00, 1.00
16	train	1.10, 1.45, 1.16, 1.04	0.89, 0.00, 0.77, 1.00	0.70, 1.00, 0.87, 1.00	0.92, 0.89, 0.90, 0.96	0.50, 0.50, 0.50, 0.50	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
16	valid	1.10, 1.47, 1.19, 1.04	0.89, 0.00, 0.69, 1.00	0.64, 1.00, 0.87, 1.00	0.91, 0.88, 0.89, 0.98	0.50, 0.50, 0.50, 0.50	0.84, 0.81, 0.85, 0.91	1.00, 1.00, 1.00, 1.00
17	train	1.10, 1.41, 1.16, 1.04	0.88, 0.10, 0.78, 1.00	0.73, 0.99, 0.88, 1.00	0.92, 0.90, 0.91, 0.96	0.55, 0.55, 0.54, 0.57	0.86, 0.83, 0.87, 0.92	1.00, 1.00, 1.00, 1.00
17	valid	1.10, 1.34, 1.17, 1.04	0.85, 0.35, 0.73, 1.00	0.81, 0.98, 0.85, 1.00	0.91, 0.88, 0.89, 0.97	0.81, 0.81, 0.78, 0.84	0.86, 0.80, 0.86, 0.94	1.00, 1.00, 1.00, 1.00
18	train	1.11, 1.18, 1.17, 1.04	0.85, 0.72, 0.73, 1.00	0.90, 0.94, 0.92, 1.00	0.93, 0.91, 0.91, 0.96	0.89, 0.89, 0.84, 0.93	0.87, 0.86, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
18	valid	1.16, 1.20, 1.15, 1.09	0.74, 0.66, 0.77, 0.98	0.93, 0.92, 0.85, 1.00	0.90, 0.88, 0.88, 0.92	0.86, 0.86, 0.83, 0.91	0.86, 0.83, 0.88, 0.95	1.00, 1.00, 1.00, 1.00
19	train	1.11, 1.17, 1.17, 1.04	0.86, 0.74, 0.73, 1.00	0.91, 0.94, 0.93, 1.00	0.93, 0.91, 0.91, 0.96	0.89, 0.89, 0.85, 0.92	0.87, 0.86, 0.88, 0.93	1.00, 1.00, 1.00, 1.00
