Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive	AUC - random
0	train	1.61, 1.60, 1.61, 1.61, 1.61	0.00, 1.00, 0.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00, 1.00	0.53, 0.54, 0.54, 0.55, 0.51	0.56, 0.49, 0.48, 0.48, 0.45	0.45, 0.48, 0.47, 0.51, 0.44	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.51, 0.51, 0.51
0	valid	1.61, 1.60, 1.61, 1.61, 1.61	0.00, 1.00, 0.00, 0.00, 0.00	1.00, 0.00, 1.00, 1.00, 1.00	0.55, 0.55, 0.55, 0.55, 0.53	0.54, 0.48, 0.47, 0.47, 0.43	0.45, 0.49, 0.48, 0.50, 0.47	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.51, 0.50
1	train	1.38, 1.79, 1.79, 1.79, 1.40	0.88, 0.00, 0.00, 0.00, 0.12	0.12, 1.00, 1.00, 1.00, 0.88	0.52, 0.52, 0.52, 0.52, 0.52	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
1	valid	1.25, 1.67, 1.66, 1.66, 1.63	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.84, 0.76, 0.78, 0.82, 0.96	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
2	train	1.34, 1.64, 1.63, 1.63, 1.62	1.00, 0.00, 0.00, 0.01, 0.00	0.01, 1.00, 1.00, 1.00, 1.00	0.78, 0.75, 0.77, 0.78, 0.82	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
2	valid	1.44, 1.62, 1.62, 1.61, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.71, 0.70, 0.70, 0.72, 0.73	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
3	train	1.39, 1.63, 1.63, 1.62, 1.62	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.73, 0.71, 0.72, 0.74, 0.75	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
3	valid	1.60, 1.61, 1.61, 1.61, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.52, 0.52, 0.52, 0.52, 0.52	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
4	train	1.38, 1.62, 1.62, 1.62, 1.62	1.00, 0.00, 0.00, 0.00, 0.00	0.01, 1.00, 1.00, 1.00, 1.00	0.76, 0.75, 0.75, 0.77, 0.78	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
4	valid	1.32, 1.64, 1.63, 1.63, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.83, 0.79, 0.80, 0.82, 0.89	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
5	train	1.32, 1.63, 1.62, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.85, 0.83, 0.84, 0.86, 0.88	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
5	valid	1.30, 1.63, 1.63, 1.63, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.85, 0.82, 0.83, 0.85, 0.91	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
6	train	1.32, 1.63, 1.62, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.85, 0.83, 0.85, 0.86, 0.88	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
6	valid	1.32, 1.63, 1.63, 1.62, 1.61	1.00, 0.00, 0.00, 0.00, 0.00	0.00, 1.00, 1.00, 1.00, 1.00	0.84, 0.82, 0.82, 0.84, 0.89	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
7	train	1.31, 1.65, 1.54, 1.65, 1.61	0.98, 0.00, 0.24, 0.00, 0.00	0.17, 1.00, 0.89, 1.00, 1.00	0.87, 0.85, 0.86, 0.87, 0.90	0.50, 0.50, 0.50, 0.50, 0.50	0.61, 0.54, 0.57, 0.50, 0.62	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
7	valid	1.31, 1.68, 1.46, 1.68, 1.61	0.95, 0.00, 0.50, 0.00, 0.00	0.35, 1.00, 0.77, 1.00, 1.00	0.86, 0.83, 0.84, 0.86, 0.91	0.50, 0.50, 0.50, 0.50, 0.50	0.72, 0.56, 0.64, 0.50, 0.75	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
8	train	1.32, 1.68, 1.39, 1.69, 1.61	0.92, 0.00, 0.63, 0.00, 0.00	0.44, 1.00, 0.70, 1.00, 1.00	0.88, 0.86, 0.87, 0.88, 0.90	0.50, 0.50, 0.50, 0.50, 0.50	0.77, 0.60, 0.67, 0.51, 0.81	0.50, 0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50, 0.50
